higher_taxa,genus_species,,,
amphipoda gammaridea,All genera and species,,,
amphipoda hyperiidea,All genera and species,,,
appendicularia,All genera and species,,,
chaetognatha,All genera and species,,,
copepoda,All genera and species,,,
copepoda calanoida aetideidae,aetideus bradyi,,,
copepoda calanoida aetideidae,aetideus divergens,,,
copepoda calanoida aetideidae,euchirella pseudopulchra,,,
copepoda calanoida aetideidae,euchirella pulchra,,,
copepoda calanoida aetideidae,gaidius pungens,,,
copepoda calanoida calanidae,calanus pacificus,,,
copepoda calanoida calanidae,mesocalanus lighti,,,
copepoda calanoida calanidae,mesocalanus tenuicornis,,,
copepoda calanoida calanidae,nannocalanus minor,,,
copepoda calanoida calanidae,neocalanus cristatus,,,
copepoda calanoida calanidae,neocalanus flemingeri,,,
copepoda calanoida calanidae,neocalanus gracilis,,,
copepoda calanoida calanidae,neocalanus plumchrus,,,
copepoda calanoida calanidae,neocalanus robustior,,,
copepoda calanoida candaciidae,candacia aethiopica,,,
copepoda calanoida candaciidae,candacia bipinnata,,,
copepoda calanoida candaciidae,candacia curta,,,
copepoda calanoida eucalanidae,eucalanus californicus,,,
copepoda calanoida eucalanidae,eucalanus hyalinus,,,
copepoda calanoida eucalanidae,pareucalanus attenuatus,,,
copepoda calanoida eucalanidae,rhincalanus nasutus,,,
copepoda calanoida eucalanidae,subeucalanus crassus,,,
copepoda calanoida euchaetidae,euchaeta acuta,,,
copepoda calanoida euchaetidae,euchaeta media,,,
copepoda calanoida euchaetidae,euchaeta rimana,,,
copepoda calanoida heterorhabdidae,heterorhabdus abyssalis,,,
copepoda calanoida heterorhabdidae,heterorhabdus papilliger,,,
copepoda calanoida lucicutiidae,lucicutia flavicornis,,,
copepoda calanoida lucicutiidae,lucicutia spp.,,,
copepoda calanoida metridinidae,gaussia princeps,,,
copepoda calanoida metridinidae,metridia cf. pacifica,,,
copepoda calanoida metridinidae,pleuromamma abdominalis edentata,,,
copepoda calanoida metridinidae,pleuromamma abdominalis typica,,,
copepoda calanoida metridinidae,pleuromamma borealis,,,
copepoda calanoida metridinidae,pleuromamma gracilis,,,
copepoda calanoida metridinidae,pleuromamma piseki,,,
copepoda calanoida metridinidae,pleuromamma quadrungulata,,,
copepoda calanoida metridinidae,pleuromamma xiphias,,,
copepoda calanoida pontellidae,labidocera trispinosa,,,
copepoda calanoida scolecitrichidae,scolecithrix danae,,,
copepoda other calanoids,All genera and species,,,
ctenophora,All genera and species,,,
decapoda anomura galatheidae,pleuroncodes planipes,,,
decapoda caridea pasiphaeidae,pasiphaea pacifica,,,
decapoda caridea pasiphaeidae,pasiphaea spp.,,,
decapoda sergestoidea,sergestes similis,,,
decapoda sergestoidea,sergestes spp.,,,
decapoda sergestoidea,sergia spp.,,,
doliolida,dolioletta gegenbauri,,,
doliolida,dolioletta sp.,,,
foraminifera,All genera and species,,,
hydromedusa,All genera and species,,,
mollusca euthecosomata,All genera and species,,,
mollusca gymnosomata,All genera and species,,,
mollusca heteropoda atlantidae,atlanta spp.,,,
mollusca pseudothecosomata,All genera and species,,,
ostracoda,All genera and species,,,
polychaeta tomopteridae,tomopteris spp.,,,
pyrosoma,pyrosoma atlanticum,,,
pyrosoma,pyrosoma spp.,,,
pyrosoma,pyrosomella verticillata,,,
radiolaria,All genera and species,,,
salpida,cyclosalpa affinis,,,
salpida,cyclosalpa bakeri,,,
salpida,cyclosalpa pinnata,,,
salpida,cyclosalpa quadriluminis,,,
salpida,cyclosalpa spp.,,,
salpida,helicosalpa virgula,,,
salpida,ihlea punctata,,,
salpida,pegea confoederata,,,
salpida,pegea socia,,,
salpida,pegea spp.,,,
salpida,ritteriella amboinensis,,,
salpida,ritteriella picteti,,,
salpida,ritteriella retracta,,,
salpida,ritteriella spp.,,,
salpida,salpa aspera,,,
salpida,salpa fusiformis,,,
salpida,salpa maxima,,,
salpida,salpa spp.,,,
salpida,soestia zonaria,,,
salpida,thalia democratica,,,
salpida,thetys vagina,,,
salpida,weelia cylindrica,,,
siphonophora,All genera and species,,,